============================================================
  Generated by:           Genus(TM) Synthesis Solution 19.11-s087_1
  Generated on:           Feb 09 2023  08:25:14 pm
  Module:                 picorv32
  Technology libraries:   fast_vdd1v0 1.0
                          physical_cells 
  Operating conditions:   PVT_1P1V_0C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                    Instance                              Module           Cell Count  Cell Area  Net Area   Total Area 
  mux_instr_and_1133_7                           bmux                               1      5.341     0.000        5.341 
  mux_is_alu_reg_reg_891_23                      bmux                               1      5.341     0.000        5.341 
  mux_is_alu_reg_reg_984_13                      mux_1512                           1      5.341     0.000        5.341 
  mux_is_alu_reg_reg_921_13                      mux_1512                           1      5.341     0.000        5.341 
  mux_trap_1452_7                                bmux                               1      5.341     0.000        5.341 
  mux_mem_instr_589_10                           bmux                               1      5.341     0.000        5.341 
  mux_363_62                                     bmux                               1      5.341     0.000        5.341 
  mux_is_compare_1133_7                          bmux                               1      5.341     0.000        5.341 
  mux_is_compare_1035_23                         bmux                               1      5.341     0.000        5.341 
  mux_is_lui_auipc_jal_jalr_addi_add_sub_1035_23 bmux                               1      5.341     0.000        5.341 
  mux_decoder_pseudo_trigger_1877_26             bmux                               1      5.341     0.000        5.341 
  mux_decoder_pseudo_trigger_1895_27             bmux                               1      5.341     0.000        5.341 
  mux_decoder_pseudo_trigger_1852_26             bmux                               1      5.341     0.000        5.341 
  mux_decoder_pseudo_trigger_1867_27             bmux                               1      5.341     0.000        5.341 
  mux_decoder_trigger_1452_7                     bmux                               1      5.341     0.000        5.341 
  mux_decoder_trigger_1877_26                    bmux                               1      5.341     0.000        5.341 
  mux_decoder_trigger_1852_26                    bmux                               1      5.341     0.000        5.341 
  mux_decoder_trigger_1806_9                     bmux                               1      5.341     0.000        5.341 
  mux_decoder_trigger_1812_28                    bmux                               1      5.341     0.000        5.341 
  mux_mem_do_rinst_1731_8                        mux_1512                           1      5.341     0.000        5.341 
  mux_mem_do_rinst_1552_9                        bmux                               1      5.341     0.000        5.341 
  mux_mem_do_rinst_1493_5                        bmux                               1      5.341     0.000        5.341 
  mux_mem_do_rinst_1562_10                       bmux                               1      5.341     0.000        5.341 
  mux_set_mem_do_rinst_1806_9                    bmux                               1      5.341     0.000        5.341 
